[2023-04-13T11:36:25+07:00] | {"tag":"REQ","from":"::1","method":"POST","endpoint":"/api/auth/admin/login","time":"2023-04-13T11:36:25+07:00"}
[2023-04-13T11:36:25+07:00] | {"tag":"RES","from":"::1","method":"POST","endpoint":"/api/auth/admin/login","time":"2023-04-13T11:36:25+07:00","responseTime":"432 ms"}
[2023-04-13T11:45:56+07:00] | {"tag":"REQ","from":"::1","method":"POST","endpoint":"/api/auth/admin/login","time":"2023-04-13T11:45:56+07:00"}
[2023-04-13T11:45:56+07:00] | {"tag":"RES","from":"::1","method":"POST","endpoint":"/api/auth/admin/login","time":"2023-04-13T11:45:56+07:00","responseTime":"83 ms"}
[2023-04-13T11:46:11+07:00] | {"tag":"REQ","from":"::1","method":"POST","endpoint":"/api/auth/admin/login","time":"2023-04-13T11:46:11+07:00"}
[2023-04-13T11:46:11+07:00] | {"tag":"RES","from":"::1","method":"POST","endpoint":"/api/auth/admin/login","time":"2023-04-13T11:46:11+07:00","responseTime":"83 ms"}
[2023-04-13T11:56:03+07:00] | {"tag":"REQ","from":"::1","method":"POST","endpoint":"/api/auth/admin/login","time":"2023-04-13T11:56:03+07:00"}
[2023-04-13T11:56:03+07:00] | {"tag":"RES","from":"::1","method":"POST","endpoint":"/api/auth/admin/login","time":"2023-04-13T11:56:03+07:00","responseTime":"83 ms"}
[2023-04-13T11:56:30+07:00] | {"tag":"REQ","from":"::1","method":"POST","endpoint":"/api/auth/admin/login","time":"2023-04-13T11:56:30+07:00"}
[2023-04-13T11:56:30+07:00] | {"tag":"RES","from":"::1","method":"POST","endpoint":"/api/auth/admin/login","time":"2023-04-13T11:56:30+07:00","responseTime":"82 ms"}
[2023-04-13T11:58:06+07:00] | {"tag":"REQ","from":"::1","method":"POST","endpoint":"/api/auth/admin/login","time":"2023-04-13T11:58:06+07:00"}
[2023-04-13T11:58:06+07:00] | {"tag":"RES","from":"::1","method":"POST","endpoint":"/api/auth/admin/login","time":"2023-04-13T11:58:06+07:00","responseTime":"83 ms"}
[2023-04-13T11:59:08+07:00] | {"tag":"REQ","from":"::1","method":"POST","endpoint":"/api/auth/admin/login","time":"2023-04-13T11:59:08+07:00"}
[2023-04-13T11:59:08+07:00] | {"tag":"RES","from":"::1","method":"POST","endpoint":"/api/auth/admin/login","time":"2023-04-13T11:59:08+07:00","responseTime":"79 ms"}
[2023-04-13T12:21:32+07:00] | {"tag":"REQ","from":"::1","method":"GET","endpoint":"/api/auth/authtoken","time":"2023-04-13T12:21:32+07:00"}
[2023-04-13T12:21:32+07:00] | {"tag":"RES","from":"::1","method":"GET","endpoint":"/api/auth/authtoken","time":"2023-04-13T12:21:32+07:00","responseTime":"5 ms"}
[2023-04-13T12:21:33+07:00] | {"tag":"REQ","from":"::1","method":"GET","endpoint":"/api/auth/authtoken","time":"2023-04-13T12:21:33+07:00"}
[2023-04-13T12:21:33+07:00] | {"tag":"RES","from":"::1","method":"GET","endpoint":"/api/auth/authtoken","time":"2023-04-13T12:21:33+07:00","responseTime":"8 ms"}
[2023-04-13T12:21:44+07:00] | {"tag":"REQ","from":"::1","method":"GET","endpoint":"/api/auth/authtoken","time":"2023-04-13T12:21:44+07:00"}
[2023-04-13T12:21:44+07:00] | {"tag":"RES","from":"::1","method":"GET","endpoint":"/api/auth/authtoken","time":"2023-04-13T12:21:44+07:00","responseTime":"0 ms"}
[2023-04-13T12:22:00+07:00] | {"tag":"REQ","from":"::1","method":"GET","endpoint":"/api/auth/authtoken","time":"2023-04-13T12:22:00+07:00"}
[2023-04-13T12:22:00+07:00] | {"tag":"RES","from":"::1","method":"GET","endpoint":"/api/auth/authtoken","time":"2023-04-13T12:22:00+07:00","responseTime":"0 ms"}
[2023-04-13T12:22:10+07:00] | {"tag":"REQ","from":"::1","method":"GET","endpoint":"/api/auth/authtoken","time":"2023-04-13T12:22:10+07:00"}
[2023-04-13T12:22:10+07:00] | {"tag":"RES","from":"::1","method":"GET","endpoint":"/api/auth/authtoken","time":"2023-04-13T12:22:10+07:00","responseTime":"0 ms"}
[2023-04-13T12:22:12+07:00] | {"tag":"REQ","from":"::1","method":"GET","endpoint":"/api/auth/authtoken","time":"2023-04-13T12:22:12+07:00"}
[2023-04-13T12:22:12+07:00] | {"tag":"RES","from":"::1","method":"GET","endpoint":"/api/auth/authtoken","time":"2023-04-13T12:22:12+07:00","responseTime":"0 ms"}
[2023-04-13T12:22:15+07:00] | {"tag":"REQ","from":"::1","method":"GET","endpoint":"/api/auth/authtoken","time":"2023-04-13T12:22:15+07:00"}
[2023-04-13T12:22:15+07:00] | {"tag":"RES","from":"::1","method":"GET","endpoint":"/api/auth/authtoken","time":"2023-04-13T12:22:15+07:00","responseTime":"1 ms"}
[2023-04-13T12:22:15+07:00] | {"tag":"REQ","from":"::1","method":"GET","endpoint":"/api/auth/authtoken","time":"2023-04-13T12:22:15+07:00"}
[2023-04-13T12:22:15+07:00] | {"tag":"RES","from":"::1","method":"GET","endpoint":"/api/auth/authtoken","time":"2023-04-13T12:22:15+07:00","responseTime":"0 ms"}
[2023-04-13T12:22:17+07:00] | {"tag":"REQ","from":"::1","method":"GET","endpoint":"/api/auth/authtoken","time":"2023-04-13T12:22:17+07:00"}
